"id","user_type/id","reconcile","code","type","name","parent_id/id"
"__export__.account_account_238","l10n_au_manufacturing.account_type_income","False","42150","Regular","Freight Lifts","__export__.account_account_164"
"__export__.account_account_80","__export__.account_account_type_31","False","44100","View","Consignment Sales","__export__.account_account_74"
"__export__.account_account_239","l10n_au_manufacturing.account_type_income","False","44110","Regular","Consignment Sales ","__export__.account_account_80"
"__export__.account_account_241","__export__.account_account_type_31","False","45100","View","TAG SA","__export__.account_account_74"
"__export__.account_account_242","l10n_au_manufacturing.account_type_income","False","45110","Regular","SA - General Fabrication ","__export__.account_account_241"
"__export__.account_account_243","l10n_au_manufacturing.account_type_income","False","45120","Regular","SA - Crane Fabrication ","__export__.account_account_241"
"__export__.account_account_244","l10n_au_manufacturing.account_type_income","False","45130","Regular","SA - Lift Fabrication ","__export__.account_account_241"
"__export__.account_account_245","l10n_au_manufacturing.account_type_income","False","45140","Regular","SA - Lift Service ","__export__.account_account_241"
"__export__.account_account_168","__export__.account_account_type_31","False","43100","View","Warranty & Repairs","__export__.account_account_74"
"__export__.account_account_169","l10n_au_manufacturing.account_type_income","False","43110","Regular","Warranty","__export__.account_account_168"
"__export__.account_account_170","l10n_au_manufacturing.account_type_income","False","43120","Regular","Rework","__export__.account_account_168"
"__export__.account_account_171","l10n_au_manufacturing.account_type_income","False","43130","Regular","Repairs","__export__.account_account_168"
"__export__.account_account_85","__export__.account_account_type_30","False","50000","View","Cost of Sales","__export__.account_account_72"
"__export__.account_account_172","__export__.account_account_type_30","False","54100","View","Sub-Contractors","__export__.account_account_85"
"__export__.account_account_173","l10n_au_manufacturing.account_type_cost_of_sales","False","54110","Regular","Labour Hire","__export__.account_account_172"
"__export__.account_account_249","__export__.account_account_type_30","False","55100","View","Other COS ","__export__.account_account_85"
"__export__.account_account_250","l10n_au_manufacturing.account_type_cost_of_sales","False","55110","Regular","Travel","__export__.account_account_249"
"__export__.account_account_94","l10n_au_manufacturing.account_type_cost_of_sales","False","55120","Regular","Freight inwards","__export__.account_account_249"
